
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:116)
[FUNCTION_SIZE] Function 'registerDataServices' too large: 71 lines (max: 50) (AirFit/Core/DI/DIBootstrapper.swift:99)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:119)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:166)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:184)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:197)
[FUNCTION_SIZE] Function 'registerDomainServices' too large: 172 lines (max: 50) (AirFit/Core/DI/DIBootstrapper.swift:174)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:209)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:220)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:233)
[FUNCTION_SIZE] Function 'registerUIServices' too large: 117 lines (max: 50) (AirFit/Core/DI/DIBootstrapper.swift:350)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:238)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:268)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:302)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/AIPersonaSettingsView.swift:475)
